# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-02-10 18:39:54 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 13337000 LOCHSA RIVER NR LOWELL ID
# -----------------------------------------------------------------------------------
#
# Data provided for site 13337000
#            TS   parameter     statistic     Description
#         46504       00010     00001     Temperature, water, degrees Celsius (Maximum)
#         46505       00010     00002     Temperature, water, degrees Celsius (Minimum)
#         46507       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	46507_00060_00003	46507_00060_00003_cd
5s	15s	20d	14n	10s
USGS	13337000	1982-08-31	670	A
USGS	13337000	1982-09-01	632	A
USGS	13337000	1982-09-02	595	A
USGS	13337000	1982-09-03	573	A
USGS	13337000	1982-09-04	560	A
USGS	13337000	1982-09-05	542	A
USGS	13337000	1982-09-06	533	A
USGS	13337000	1982-09-07	521	A
USGS	13337000	1982-09-08	510	A
USGS	13337000	1982-09-09	500	A
USGS	13337000	1982-09-10	759	A
USGS	13337000	1982-09-11	768	A
USGS	13337000	1982-09-12	883	A
USGS	13337000	1982-09-13	876	A
USGS	13337000	1982-09-14	719	A
USGS	13337000	1982-09-15	636	A
USGS	13337000	1982-09-16	603	A
USGS	13337000	1982-09-17	571	A
USGS	13337000	1982-09-18	553	A
USGS	13337000	1982-09-19	534	A
USGS	13337000	1982-09-20	521	A
USGS	13337000	1982-09-21	527	A
USGS	13337000	1982-09-22	538	A
USGS	13337000	1982-09-23	517	A
USGS	13337000	1982-09-24	501	A
USGS	13337000	1982-09-25	503	A
USGS	13337000	1982-09-26	580	A
USGS	13337000	1982-09-27	678	A
USGS	13337000	1982-09-28	1390	A
USGS	13337000	1982-09-29	1400	A
USGS	13337000	1982-09-30	1000	A
USGS	13337000	1982-10-01	853	A
USGS	13337000	1982-10-02	769	A
USGS	13337000	1982-10-03	1140	A
USGS	13337000	1982-10-04	1170	A
USGS	13337000	1982-10-05	1090	A
USGS	13337000	1982-10-06	940	A
USGS	13337000	1982-10-07	1080	A
USGS	13337000	1982-10-08	1200	A
USGS	13337000	1982-10-09	1030	A
USGS	13337000	1982-10-10	930	A
USGS	13337000	1982-10-11	901	A
USGS	13337000	1982-10-12	911	A
USGS	13337000	1982-10-13	911	A
USGS	13337000	1982-10-14	920	A
USGS	13337000	1982-10-15	930	A
USGS	13337000	1982-10-16	950	A
USGS	13337000	1982-10-17	1010	A
USGS	13337000	1982-10-18	1100	A
USGS	13337000	1982-10-19	991	A
USGS	13337000	1982-10-20	920	A
USGS	13337000	1982-10-21	891	A
USGS	13337000	1982-10-22	991	A
USGS	13337000	1982-10-23	1070	A
USGS	13337000	1982-10-24	1230	A
USGS	13337000	1982-10-25	1280	A
USGS	13337000	1982-10-26	1320	A
USGS	13337000	1982-10-27	1480	A
USGS	13337000	1982-10-28	1320	A
USGS	13337000	1982-10-29	1350	A
USGS	13337000	1982-10-30	1300	A
USGS	13337000	1982-10-31	1200	A
USGS	13337000	1982-11-01	1180	A
USGS	13337000	1982-11-02	1150	A
USGS	13337000	1982-11-03	1030	A
USGS	13337000	1982-11-04	1020	A
USGS	13337000	1982-11-05	1050	A
USGS	13337000	1982-11-06	1300	A
USGS	13337000	1982-11-07	1230	A
USGS	13337000	1982-11-08	1070	A
USGS	13337000	1982-11-09	981	A
USGS	13337000	1982-11-10	1010	A
USGS	13337000	1982-11-11	911	A
USGS	13337000	1982-11-12	872	A
USGS	13337000	1982-11-13	843	A
USGS	13337000	1982-11-14	760	A
USGS	13337000	1982-11-15	673	A
USGS	13337000	1982-11-16	751	A
USGS	13337000	1982-11-17	940	A
USGS	13337000	1982-11-18	991	A
USGS	13337000	1982-11-19	1160	A
USGS	13337000	1982-11-20	1050	A
